Format Version,1.22,Take Name,paul_squatlifting1,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,16 Dec 1969 13:09:06 +0100,Total Frames in Take,5432,Total Exported Frames,5432,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.302515,1.068882,0.290956,-0.402780,0.003153,0.518145,-0.396333,0.005495,0.088431,-0.788036,0.660900,0.599665,-0.762981,0.669412,-0.099272,-0.397215,0.228471,0.084877,-0.089570,0.008939,0.086036,-0.286792,0.664675,-0.096218,0.273692,0.062284,0.090137,0.241951,1.030843,0.020640,0.238805,0.860401,0.130197,0.321621,0.062144,0.143687,0.224437,0.471210,0.122343,0.260801,1.372884,0.107091,0.088652,0.030306,0.131218,0.167440,0.784301,0.054420,1.357249,1.507031,-0.531434,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,0.301947,1.068688,0.290212,-0.402785,0.003170,0.518134,-0.396336,0.005494,0.088435,-0.788034,0.660906,0.599657,-0.762988,0.669417,-0.099270,-0.397225,0.228467,0.084882,-0.089572,0.009131,0.085883,-0.286793,0.664676,-0.096219,0.273792,0.062251,0.090122,0.240448,1.030728,0.019775,0.238290,0.860223,0.129769,0.321712,0.062029,0.143669,0.226116,0.470853,0.121765,0.260618,1.372729,0.106381,0.088631,0.030324,0.131174,0.165643,0.784305,0.054078,1.356595,1.506756,-0.531260,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,0.301300,1.068420,0.289576,-0.402773,0.003147,0.518133,-0.396330,0.005505,0.088428,-0.788036,0.660907,0.599657,-0.762989,0.669411,-0.099270,-0.397228,0.228467,0.084883,-0.089576,0.009146,0.085870,-0.286793,0.664678,-0.096218,0.273908,0.062237,0.090085,0.238970,1.030630,0.018968,0.237739,0.859990,0.129321,0.321805,0.061895,0.143648,0.227768,0.470450,0.121222,0.260426,1.372516,0.105592,0.088630,0.030339,0.131130,0.163883,0.784304,0.053806,1.356475,1.506768,-0.531251,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,0.300700,1.068155,0.288928,-0.402767,0.003149,0.518141,-0.396339,0.005495,0.088423,-0.788044,0.660914,0.599653,-0.762989,0.669417,-0.099274,-0.397225,0.228465,0.084880,-0.089570,0.009209,0.085820,-0.286790,0.664675,-0.096214,0.274009,0.062208,0.090042,0.237556,1.030441,0.018242,0.237214,0.859764,0.128949,0.321894,0.061740,0.143607,0.229311,0.470008,0.120673,0.260313,1.372238,0.104944,0.088634,0.030358,0.131079,0.162090,0.784316,0.053551,1.357169,1.507025,-0.531426,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,0.300375,1.068103,0.288238,-0.402796,0.003169,0.518125,-0.396335,0.005498,0.088429,-0.788040,0.660916,0.599656,-0.762984,0.669414,-0.099271,-0.397225,0.228466,0.084885,-0.089569,0.009227,0.085786,-0.286794,0.664675,-0.096221,0.274127,0.062156,0.089988,0.236172,1.030258,0.017588,0.236646,0.859545,0.128558,0.321991,0.061627,0.143554,0.230735,0.469610,0.120174,0.260252,1.372016,0.104210,0.088663,0.030396,0.131002,0.160355,0.784323,0.053356,1.356486,1.506767,-0.531251,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,0.299733,1.067881,0.287592,-0.402765,0.003152,0.518136,-0.396334,0.005496,0.088427,-0.788044,0.660905,0.599658,-0.762986,0.669419,-0.099278,-0.397220,0.228468,0.084883,-0.089553,0.009223,0.085765,-0.286795,0.664679,-0.096219,0.274239,0.062100,0.089911,0.234855,1.030097,0.017029,0.236030,0.859294,0.128202,0.322090,0.061516,0.143489,0.232063,0.469358,0.119684,0.260143,1.371799,0.103599,0.088689,0.030412,0.130940,0.158688,0.784342,0.053215,1.357208,1.507031,-0.531428,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,0.299132,1.067594,0.286996,-0.402794,0.003181,0.518130,-0.396334,0.005496,0.088431,-0.788045,0.660913,0.599657,-0.762983,0.669411,-0.099269,-0.397226,0.228465,0.084880,-0.089541,0.009254,0.085731,-0.286789,0.664676,-0.096217,0.274380,0.062038,0.089818,0.233646,1.029897,0.016526,0.235381,0.859006,0.127836,0.322205,0.061461,0.143404,0.233288,0.469322,0.119214,0.260123,1.371535,0.102946,0.088734,0.030476,0.130849,0.157016,0.784311,0.053134,1.357143,1.507026,-0.531423,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,0.298564,1.067338,0.286403,-0.402759,0.003149,0.518139,-0.396338,0.005493,0.088433,-0.788049,0.660917,0.599648,-0.762987,0.669416,-0.099272,-0.397225,0.228461,0.084881,-0.089535,0.009266,0.085714,-0.286793,0.664674,-0.096217,0.274519,0.061983,0.089713,0.232455,1.029678,0.016083,0.234834,0.858562,0.126973,0.322312,0.061397,0.143316,0.234363,0.469478,0.118735,0.260129,1.371296,0.102290,0.088807,0.030537,0.130755,0.155394,0.784277,0.053134,1.356603,1.506766,-0.531259,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,0.298271,1.067306,0.285826,-0.402762,0.003154,0.518129,-0.396333,0.005505,0.088427,-0.788034,0.660913,0.599660,-0.762988,0.669417,-0.099274,-0.397224,0.228467,0.084881,-0.089535,0.009295,0.085697,-0.286791,0.664676,-0.096218,0.274644,0.061903,0.089611,0.231400,1.029452,0.015774,0.234289,0.858368,0.126542,0.322415,0.061329,0.143223,0.235299,0.469524,0.118267,0.260101,1.371106,0.101651,0.088868,0.030601,0.130674,0.153848,0.784258,0.053128,1.356523,1.506772,-0.531260,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,0.297682,1.067040,0.285432,-0.402777,0.003144,0.518134,-0.396340,0.005489,0.088428,-0.788038,0.660903,0.599666,-0.762988,0.669414,-0.099270,-0.397222,0.228464,0.084883,-0.089529,0.009307,0.085669,-0.286791,0.664679,-0.096220,0.274747,0.061838,0.089527,0.230402,1.029192,0.015476,0.233787,0.858161,0.126090,0.322498,0.061296,0.143141,0.235976,0.469471,0.117868,0.260148,1.370894,0.101017,0.088920,0.030654,0.130610,0.152350,0.784238,0.053189,1.356597,1.506772,-0.531258,,,,,,,,,,,,,,,,,,,,,,,,,,,
