Format Version,1.0,
Take Name,clement_squatlifitng1,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,20 Dec 1969 10:09:46 +0100,
Total Frames In Take,6995,
Total Exported Frames,6995,
Coordinate Space,Local,
Device Name,AMTI 12073M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,15.750000,
PlateWidth,23.620000,
PlateOrder,1,
PosX_PosY_X,0.400090,
PosX_PosY_Y,-0.000078,
PosX_PosY_Z,0.600489,
NegX_PosY_X,0.000039,
NegX_PosY_Y,-0.000043,
NegX_PosY_Z,0.600698,
NegX_NegY_X,-0.000002,
NegX_NegY_Y,-0.000010,
NegX_NegY_Z,-0.000014,
PosX_NegY_X,0.400050,
PosX_NegY_Y,-0.000046,
PosX_NegY_Z,-0.000223,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
45,0.450000,45,-5.477051,-10.429199,730.281250,-14.304688,-59.994141,6.723877,0.082152,-0.019588,0.000000
46,0.460000,46,-5.295410,-11.162109,730.625000,-14.094238,-59.875000,6.686768,0.081950,-0.019291,0.000000
47,0.470000,47,-5.840576,-11.246094,731.343750,-14.000488,-59.894531,6.648438,0.081897,-0.019144,0.000000
48,0.480000,48,-4.938232,-10.983887,728.812500,-14.194336,-59.859375,6.610352,0.082133,-0.019476,0.000000
49,0.490000,49,-5.572510,-10.884277,730.281250,-14.376465,-59.994141,6.742920,0.082152,-0.019686,0.000000
50,0.500000,50,-5.390869,-10.978516,728.093750,-14.330566,-59.732422,6.705322,0.082039,-0.019682,0.000000
51,0.510000,51,-4.762939,-11.524902,728.812500,-14.218262,-59.962891,6.629395,0.082275,-0.019509,0.000000
52,0.520000,52,-4.662354,-11.261230,731.343750,-14.182129,-59.923828,6.590820,0.081937,-0.019392,0.000000
53,0.530000,53,-5.386475,-11.069336,733.156250,-14.187500,-59.986328,6.704590,0.081819,-0.019351,0.000000
54,0.540000,54,-5.126709,-11.520020,731.000000,-14.034668,-60.195313,6.704590,0.082347,-0.019199,0.000000
55,0.550000,55,-5.031494,-11.073730,731.000000,-14.505859,-60.007813,6.761230,0.082090,-0.019844,0.000000
56,0.560000,56,-4.850586,-11.067871,731.687500,-14.505859,-60.294922,6.703857,0.082405,-0.019825,0.000000
57,0.570000,57,-5.031738,-11.073730,731.687500,-14.458984,-60.191406,6.666016,0.082264,-0.019761,0.000000
58,0.580000,58,-4.852783,-11.349609,730.625000,-14.496582,-59.966797,6.685791,0.082076,-0.019841,0.000000
59,0.590000,59,-5.121338,-10.981445,731.343750,-14.417969,-60.160156,6.704102,0.082260,-0.019714,0.000000
