Format Version,1.22,Take Name,clement_squatlifitng1,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,20 Dec 1969 10:09:46 +0100,Total Frames in Take,6995,Total Exported Frames,6995,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.374494,1.107850,0.298986,-0.367241,0.010116,0.482936,-0.362426,0.007859,0.058447,-0.745316,0.661244,0.602039,-0.730921,0.667030,-0.095402,-0.365178,0.229163,0.054324,-0.047539,0.006896,0.056124,-0.254619,0.661538,-0.099898,0.320114,0.074437,0.146283,0.282200,1.122178,0.032016,0.357104,0.882954,0.121712,0.357012,0.076904,0.201059,0.260001,0.495284,0.124644,0.320708,1.485788,0.118928,0.112490,0.034514,0.151411,0.158444,0.891616,0.027503,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,0.374515,1.107886,0.298918,-0.367203,0.010075,0.482952,-0.362431,0.007870,0.058446,-0.745314,0.661240,0.602043,-0.730924,0.667034,-0.095397,-0.365182,0.229160,0.054324,-0.047544,0.006890,0.056130,-0.254619,0.661541,-0.099897,0.320114,0.074435,0.146277,0.282217,1.122179,0.032012,0.357113,0.882956,0.121707,0.357016,0.076892,0.201067,0.260009,0.495279,0.124634,0.320728,1.485776,0.118915,0.112479,0.034519,0.151411,0.158464,0.891612,0.027497,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,0.374524,1.107885,0.298904,-0.367239,0.010118,0.482941,-0.362435,0.007863,0.058447,-0.745315,0.661243,0.602041,-0.730932,0.667036,-0.095401,-0.365185,0.229154,0.054327,-0.047551,0.006885,0.056131,-0.254621,0.661540,-0.099899,0.320115,0.074430,0.146278,0.282239,1.122167,0.031997,0.357131,0.882967,0.121699,0.357022,0.076905,0.201049,0.260015,0.495280,0.124632,0.320768,1.485760,0.118907,0.112488,0.034522,0.151413,0.158475,0.891610,0.027481,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,0.374527,1.107888,0.298889,-0.367216,0.010092,0.482955,-0.362429,0.007864,0.058448,-0.745313,0.661236,0.602044,-0.730926,0.667039,-0.095402,-0.365183,0.229152,0.054326,-0.047547,0.006893,0.056123,-0.254620,0.661537,-0.099901,0.320116,0.074432,0.146274,0.282253,1.122167,0.031988,0.357148,0.882961,0.121697,0.357025,0.076905,0.201050,0.260025,0.495276,0.124627,0.320781,1.485753,0.118896,0.112496,0.034523,0.151403,0.158483,0.891610,0.027463,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,0.374530,1.107879,0.298882,-0.367213,0.010095,0.482962,-0.362433,0.007864,0.058451,-0.745313,0.661238,0.602043,-0.730928,0.667035,-0.095405,-0.365183,0.229166,0.054325,-0.047544,0.006885,0.056121,-0.254622,0.661534,-0.099895,0.320115,0.074441,0.146279,0.282352,1.122143,0.031977,0.357166,0.882977,0.121702,0.357030,0.076905,0.201051,0.260028,0.495279,0.124620,0.320809,1.485745,0.118886,0.112489,0.034509,0.151419,0.158517,0.891590,0.027439,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,0.374542,1.107878,0.298877,-0.367211,0.010090,0.482952,-0.362428,0.007858,0.058446,-0.745311,0.661236,0.602042,-0.730926,0.667029,-0.095404,-0.365186,0.229156,0.054324,-0.047543,0.006886,0.056134,-0.254618,0.661536,-0.099904,0.320117,0.074429,0.146273,0.282376,1.122142,0.031956,0.357173,0.882978,0.121696,0.357013,0.076888,0.201055,0.260036,0.495291,0.124617,0.320805,1.485742,0.118870,0.112482,0.034521,0.151417,0.158548,0.891594,0.027410,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,0.374553,1.107875,0.298883,-0.367194,0.010076,0.482947,-0.362434,0.007864,0.058448,-0.745317,0.661241,0.602038,-0.730918,0.667034,-0.095400,-0.365181,0.229151,0.054329,-0.047542,0.006889,0.056128,-0.254620,0.661538,-0.099900,0.320119,0.074428,0.146276,0.282400,1.122153,0.031934,0.357182,0.882974,0.121689,0.357022,0.076904,0.201048,0.260041,0.495287,0.124607,0.320807,1.485756,0.118863,0.112493,0.034528,0.151403,0.158573,0.891600,0.027386,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,0.374552,1.107874,0.298892,-0.367206,0.010080,0.482966,-0.362434,0.007861,0.058450,-0.745314,0.661233,0.602041,-0.730925,0.667034,-0.095400,-0.365190,0.229161,0.054322,-0.047539,0.006884,0.056130,-0.254619,0.661535,-0.099898,0.320125,0.074436,0.146271,0.282421,1.122172,0.031913,0.357182,0.882978,0.121687,0.357022,0.076900,0.201050,0.260035,0.495278,0.124613,0.320808,1.485768,0.118851,0.112491,0.034526,0.151402,0.158613,0.891607,0.027355,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,0.374558,1.107872,0.298886,-0.367205,0.010091,0.482964,-0.362439,0.007867,0.058448,-0.745314,0.661243,0.602036,-0.730919,0.667032,-0.095398,-0.365184,0.229157,0.054322,-0.047545,0.006885,0.056125,-0.254621,0.661537,-0.099900,0.320122,0.074436,0.146269,0.282432,1.122192,0.031893,0.357195,0.882967,0.121676,0.357017,0.076889,0.201050,0.260039,0.495283,0.124607,0.320819,1.485782,0.118859,0.112480,0.034521,0.151404,0.158654,0.891621,0.027331,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,0.374563,1.107870,0.298886,-0.367194,0.010089,0.482965,-0.362435,0.007860,0.058451,-0.745313,0.661234,0.602041,-0.730920,0.667026,-0.095398,-0.365180,0.229160,0.054326,-0.047540,0.006894,0.056123,-0.254617,0.661538,-0.099896,0.320123,0.074437,0.146275,0.282448,1.122218,0.031869,0.357196,0.882956,0.121677,0.357028,0.076910,0.201048,0.260039,0.495279,0.124597,0.320821,1.485800,0.118855,0.112492,0.034521,0.151399,0.158694,0.891633,0.027302,,,,,,,,,,,,,,,,,,,,,,,,
16,0.160000,0.374569,1.107868,0.298883,-0.367192,0.010078,0.482966,-0.362432,0.007854,0.058457,-0.745321,0.661244,0.602040,-0.730921,0.667037,-0.095400,-0.365179,0.229155,0.054330,-0.047540,0.006889,0.056123,-0.254620,0.661537,-0.099898,0.320122,0.074441,0.146276,0.282486,1.122236,0.031836,0.357212,0.882962,0.121673,0.357023,0.076901,0.201054,0.260046,0.495274,0.124596,0.320837,1.485821,0.118848,0.112489,0.034510,0.151402,0.158723,0.891643,0.027270,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,0.374581,1.107810,0.298941,-0.367191,0.010074,0.482969,-0.362422,0.007859,0.058445,-0.745312,0.661241,0.602041,-0.730924,0.667033,-0.095394,-0.365178,0.229161,0.054327,-0.047540,0.006891,0.056130,-0.254620,0.661541,-0.099894,0.320122,0.074448,0.146273,0.282499,1.122253,0.031811,0.357222,0.882962,0.121671,0.357020,0.076909,0.201051,0.260063,0.495282,0.124591,0.320865,1.485818,0.118816,0.112488,0.034524,0.151400,0.158740,0.891652,0.027243,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,0.374592,1.107807,0.298940,-0.367185,0.010078,0.482971,-0.362428,0.007872,0.058450,-0.745313,0.661242,0.602041,-0.730920,0.667033,-0.095400,-0.365179,0.229163,0.054324,-0.047543,0.006893,0.056125,-0.254623,0.661538,-0.099901,0.320130,0.074443,0.146276,0.282503,1.122255,0.031798,0.357244,0.882960,0.121685,0.357027,0.076910,0.201055,0.260066,0.495277,0.124586,0.320879,1.485825,0.118802,0.112485,0.034521,0.151401,0.158746,0.891659,0.027218,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,0.374585,1.107860,0.298885,-0.367152,0.010068,0.482978,-0.362432,0.007861,0.058450,-0.745324,0.661244,0.602033,-0.730924,0.667032,-0.095394,-0.365176,0.229167,0.054324,-0.047540,0.006894,0.056124,-0.254617,0.661542,-0.099896,0.320129,0.074443,0.146279,0.282508,1.122266,0.031781,0.357262,0.882968,0.121683,0.357026,0.076905,0.201057,0.260074,0.495275,0.124582,0.320899,1.485835,0.118785,0.112480,0.034521,0.151398,0.158757,0.891658,0.027195,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,0.374602,1.107809,0.298948,-0.367189,0.010085,0.482965,-0.362430,0.007860,0.058451,-0.745316,0.661246,0.602038,-0.730921,0.667032,-0.095397,-0.365180,0.229155,0.054326,-0.047538,0.006886,0.056128,-0.254616,0.661537,-0.099899,0.320127,0.074431,0.146279,0.282520,1.122272,0.031765,0.357275,0.882971,0.121686,0.357028,0.076905,0.201058,0.260078,0.495278,0.124573,0.320932,1.485834,0.118761,0.112493,0.034524,0.151401,0.158760,0.891661,0.027164,,,,,,,,,,,,,,,,,,,,,,,,
