Format Version,1.22,Take Name,moon_squatlifting1,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,13 Dec 1969 11:39:52 +0100,Total Frames in Take,6313,Total Exported Frames,6313,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.310420,1.060514,0.307959,-0.335212,0.010176,0.482645,-0.314776,0.010912,0.055892,-0.769648,0.659679,0.637654,-0.755745,0.668229,-0.060909,-0.320030,0.228996,0.059461,-0.022988,0.008731,0.056380,-0.279410,0.663573,-0.064768,0.280892,0.069886,0.130255,0.297677,1.095224,0.061714,0.257732,0.811776,0.145880,0.314994,0.072361,0.195131,0.219470,0.471849,0.111568,0.279448,1.403733,0.124567,0.094211,0.031237,0.135305,0.239222,0.851974,0.033462
7,0.070000,0.310433,1.060532,0.307884,-0.335201,0.010182,0.482653,-0.314783,0.010923,0.055895,-0.769644,0.659673,0.637662,-0.755748,0.668231,-0.060909,-0.320029,0.228991,0.059467,-0.022983,0.008733,0.056384,-0.279404,0.663570,-0.064768,0.280880,0.069871,0.130228,0.297669,1.095228,0.061596,0.257737,0.811779,0.145825,0.315003,0.072350,0.195119,0.219481,0.471849,0.111501,0.279451,1.403745,0.124479,0.094205,0.031236,0.135309,0.239090,0.852003,0.033304
8,0.080000,0.310444,1.060544,0.307748,-0.335218,0.010182,0.482655,-0.314782,0.010928,0.055893,-0.769643,0.659671,0.637658,-0.755751,0.668229,-0.060913,-0.320025,0.228993,0.059462,-0.022982,0.008740,0.056381,-0.279403,0.663568,-0.064765,0.280883,0.069859,0.130203,0.297647,1.095205,0.061473,0.257739,0.811787,0.145739,0.315018,0.072355,0.195084,0.219470,0.471828,0.111435,0.279465,1.403740,0.124395,0.094206,0.031234,0.135310,0.238976,0.852020,0.033183
9,0.090000,0.310534,1.060572,0.307622,-0.335213,0.010178,0.482645,-0.314783,0.010910,0.055899,-0.769649,0.659677,0.637659,-0.755740,0.668229,-0.060914,-0.320027,0.228990,0.059463,-0.022984,0.008740,0.056382,-0.279406,0.663572,-0.064765,0.280895,0.069853,0.130174,0.297635,1.095199,0.061366,0.257738,0.811792,0.145662,0.315027,0.072349,0.195053,0.219475,0.471824,0.111363,0.279478,1.403735,0.124301,0.094220,0.031244,0.135307,0.238906,0.852012,0.033069
10,0.100000,0.310566,1.060586,0.307554,-0.335197,0.010151,0.482664,-0.314785,0.010913,0.055900,-0.769652,0.659672,0.637663,-0.755751,0.668229,-0.060908,-0.320033,0.228987,0.059470,-0.022986,0.008746,0.056379,-0.279400,0.663571,-0.064772,0.280893,0.069847,0.130163,0.297652,1.095192,0.061236,0.257747,0.811789,0.145584,0.315044,0.072334,0.195034,0.219477,0.471807,0.111302,0.279504,1.403722,0.124211,0.094225,0.031235,0.135313,0.238850,0.851991,0.032969
11,0.110000,0.310618,1.060605,0.307474,-0.335197,0.010181,0.482651,-0.314777,0.010917,0.055892,-0.769645,0.659673,0.637665,-0.755749,0.668226,-0.060910,-0.320032,0.228989,0.059464,-0.022989,0.008743,0.056389,-0.279403,0.663572,-0.064769,0.280907,0.069841,0.130149,0.297629,1.095183,0.061144,0.257729,0.811767,0.145474,0.315058,0.072347,0.195026,0.219468,0.471787,0.111231,0.279516,1.403697,0.124131,0.094243,0.031249,0.135308,0.238804,0.851963,0.032858
12,0.120000,0.310668,1.060620,0.307391,-0.335180,0.010161,0.482663,-0.314787,0.010911,0.055898,-0.769660,0.659685,0.637653,-0.755749,0.668227,-0.060915,-0.320031,0.228990,0.059463,-0.022983,0.008738,0.056379,-0.279407,0.663572,-0.064764,0.280908,0.069832,0.130149,0.297614,1.095164,0.061074,0.257764,0.811771,0.145426,0.315056,0.072330,0.195034,0.219481,0.471770,0.111165,0.279527,1.403676,0.124040,0.094234,0.031240,0.135298,0.238763,0.851912,0.032752
13,0.130000,0.310725,1.060651,0.307291,-0.335206,0.010184,0.482657,-0.314781,0.010921,0.055893,-0.769647,0.659680,0.637654,-0.755741,0.668225,-0.060915,-0.320027,0.228989,0.059458,-0.022986,0.008733,0.056379,-0.279403,0.663570,-0.064765,0.280914,0.069819,0.130135,0.297616,1.095151,0.060982,0.257796,0.811768,0.145378,0.315060,0.072337,0.195025,0.219472,0.471765,0.111118,0.279522,1.403649,0.123940,0.094245,0.031243,0.135314,0.238798,0.851887,0.032669
14,0.140000,0.310780,1.060677,0.307204,-0.335190,0.010163,0.482655,-0.314781,0.010913,0.055900,-0.769653,0.659682,0.637652,-0.755748,0.668229,-0.060917,-0.320032,0.228992,0.059464,-0.022991,0.008742,0.056380,-0.279408,0.663571,-0.064764,0.280903,0.069812,0.130127,0.297660,1.095169,0.060890,0.257832,0.811703,0.145334,0.315065,0.072328,0.195016,0.219455,0.471765,0.111070,0.279445,1.403615,0.123755,0.094253,0.031234,0.135315,0.238838,0.851881,0.032616
15,0.150000,0.310808,1.060700,0.307131,-0.335203,0.010180,0.482652,-0.314782,0.010914,0.055895,-0.769651,0.659677,0.637661,-0.755747,0.668225,-0.060912,-0.320030,0.228993,0.059462,-0.022990,0.008744,0.056379,-0.279405,0.663572,-0.064771,0.280915,0.069824,0.130111,0.297734,1.095175,0.060842,0.257827,0.811697,0.145266,0.315073,0.072332,0.195002,0.219441,0.471760,0.111023,0.279411,1.403627,0.123655,0.094243,0.031236,0.135317,0.238899,0.851877,0.032611
