Format Version,1.22,Take Name,laurent_squatlifting1,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,20 Dec 1969 09:06:11 +0100,Total Frames in Take,5266,Total Exported Frames,5266,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.363131,1.099542,0.312697,-0.365178,0.008079,0.483056,-0.351578,0.009699,0.058402,-0.787800,0.661788,0.592733,-0.761212,0.667389,-0.104274,-0.352329,0.231013,0.055117,-0.036600,0.007864,0.062883,-0.284896,0.661649,-0.100442,0.292620,0.077188,0.171765,0.257294,1.073786,0.060746,0.345731,0.832082,0.156715,0.316613,0.074425,0.229701,0.215269,0.467095,0.158373,0.268898,1.418580,0.118687,0.108321,0.029258,0.162114,0.130432,0.850154,0.054264,,,,,,,,,,,,,,,
7,0.070000,0.362915,1.099555,0.310540,-0.365172,0.008079,0.483055,-0.351587,0.009704,0.058396,-0.787792,0.661789,0.592735,-0.761215,0.667395,-0.104279,-0.352326,0.231015,0.055101,-0.036594,0.007876,0.062879,-0.284898,0.661652,-0.100442,0.292553,0.076700,0.171514,0.256140,1.073365,0.058886,0.345786,0.832039,0.155592,0.316594,0.074400,0.229497,0.215428,0.466896,0.156965,0.269123,1.418287,0.115885,0.108172,0.029082,0.161930,0.128684,0.849938,0.054494,0.266248,1.417594,0.134644,,,,,,,,,,,,
8,0.080000,0.362722,1.099541,0.308469,-0.365211,0.008092,0.483046,-0.351577,0.009706,0.058402,-0.787802,0.661784,0.592730,-0.761215,0.667398,-0.104274,-0.352352,0.231025,0.055130,-0.036609,0.007870,0.062879,-0.284898,0.661648,-0.100441,0.292563,0.076562,0.171366,0.255020,1.072892,0.057155,0.345832,0.831938,0.154471,0.316588,0.074420,0.229316,0.215415,0.466810,0.155633,0.269363,1.417934,0.113214,0.107985,0.028860,0.161830,0.127071,0.849755,0.054630,0.266335,1.417527,0.132306,,,,,,,,,,,,
9,0.090000,0.362800,1.099687,0.306433,-0.365192,0.008088,0.483046,-0.351592,0.009703,0.058403,-0.787816,0.661788,0.592723,-0.761231,0.667403,-0.104281,-0.352378,0.231035,0.055142,-0.036615,0.007869,0.062885,-0.284902,0.661640,-0.100437,0.292537,0.076461,0.171298,0.254053,1.072422,0.055501,0.345803,0.831723,0.153173,0.316565,0.074445,0.229211,0.215269,0.466642,0.154438,0.269559,1.417648,0.110678,0.107738,0.028631,0.161761,0.125514,0.849575,0.054609,,,,,,,,,,,,,,,
10,0.100000,0.362742,1.099613,0.304453,-0.365209,0.008103,0.483057,-0.351599,0.009701,0.058403,-0.787817,0.661793,0.592726,-0.761227,0.667400,-0.104278,-0.352291,0.231015,0.055002,-0.036614,0.007860,0.062891,-0.284907,0.661642,-0.100436,0.292474,0.076376,0.171299,0.253259,1.071823,0.053956,0.345800,0.831429,0.151812,0.316530,0.074464,0.229171,0.214955,0.466389,0.153420,0.269578,1.417284,0.108173,0.107502,0.028454,0.161712,0.124096,0.849398,0.054492,,,,,,,,,,,,,,,
11,0.110000,0.362885,1.099728,0.302471,-0.365203,0.008111,0.483049,-0.351590,0.009705,0.058394,-0.787809,0.661795,0.592716,-0.761212,0.667392,-0.104273,-0.352295,0.231024,0.055025,-0.036601,0.007869,0.062878,-0.284903,0.661647,-0.100451,0.292462,0.076305,0.171352,0.252638,1.071327,0.052493,0.345726,0.831165,0.150440,0.316496,0.074480,0.229205,0.214324,0.466196,0.152200,0.269644,1.416894,0.105743,0.107302,0.028335,0.161728,0.122881,0.849182,0.054274,,,,,,,,,,,,,,,
12,0.120000,0.363039,1.099868,0.300477,-0.365229,0.008125,0.483033,-0.351578,0.009703,0.058396,-0.787792,0.661790,0.592726,-0.761208,0.667393,-0.104279,-0.352291,0.231021,0.055016,-0.036598,0.007866,0.062883,-0.284892,0.661637,-0.100442,0.292416,0.076279,0.171402,0.252188,1.070778,0.051198,0.345692,0.830883,0.148966,0.316446,0.074508,0.229210,0.213936,0.465896,0.151672,0.269632,1.416513,0.103379,0.107123,0.028230,0.161735,0.121807,0.848948,0.053948,,,,,,,,,,,,,,,
13,0.130000,0.362907,1.099744,0.298676,-0.365202,0.008108,0.483044,-0.351582,0.009712,0.058398,-0.787788,0.661786,0.592729,-0.761210,0.667397,-0.104277,-0.352289,0.231021,0.055020,-0.036593,0.007863,0.062886,-0.284887,0.661650,-0.100446,0.292303,0.076242,0.171449,0.251717,1.070176,0.049874,0.345547,0.830461,0.147702,0.316352,0.074585,0.229214,0.213247,0.465717,0.150923,0.269595,1.416149,0.101053,0.107005,0.028187,0.161701,0.120965,0.848609,0.053612,,,,,,,,,,,,,,,
14,0.140000,0.363106,1.099818,0.296870,-0.365193,0.008099,0.483050,-0.351582,0.009704,0.058400,-0.787797,0.661790,0.592731,-0.761214,0.667394,-0.104278,-0.352296,0.231021,0.055025,-0.036603,0.007867,0.062884,-0.284891,0.661645,-0.100440,0.292162,0.076226,0.171467,0.251450,1.069580,0.048658,0.345354,0.830194,0.146510,0.316258,0.074644,0.229189,0.212270,0.465552,0.149911,0.269572,1.415791,0.098962,0.106916,0.028159,0.161708,0.120293,0.848167,0.053231,,,,,,,,,,,,,,,
15,0.150000,0.363241,1.099906,0.295193,-0.365193,0.008108,0.483045,-0.351586,0.009705,0.058410,-0.787810,0.661799,0.592729,-0.761223,0.667388,-0.104277,-0.352296,0.231020,0.055025,-0.036607,0.007870,0.062888,-0.284900,0.661644,-0.100437,0.292026,0.076192,0.171410,0.251118,1.069054,0.047495,0.345164,0.829909,0.145460,0.316147,0.074693,0.229113,0.211765,0.465056,0.149941,0.269604,1.415335,0.096880,0.106888,0.028148,0.161699,0.119868,0.847722,0.052822,,,,,,,,,,,,,,,
