Format Version,1.0,
Take Name,laurent_exciting_mvts1_000,
Capture Frame Rate,100.00,
Export Frame Rate,100.00,
Capture Start Time,20 Dec 1969 08:50:57 +0100,
Total Frames In Take,20182,
Total Exported Frames,20182,
Coordinate Space,Local,
Device Name,AMTI 12073M,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,1.00,

PlateLength,15.750000,
PlateWidth,23.620000,
PlateOrder,1,
PosX_PosY_X,0.400090,
PosX_PosY_Y,-0.000078,
PosX_PosY_Z,0.600489,
NegX_PosY_X,0.000039,
NegX_PosY_Y,-0.000043,
NegX_PosY_Z,0.600698,
NegX_NegY_X,-0.000002,
NegX_NegY_Y,-0.000010,
NegX_NegY_Z,-0.000014,
PosX_NegY_X,0.400050,
PosX_NegY_Y,-0.000046,
PosX_NegY_Z,-0.000223,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
47,0.470000,47,5.677246,-4.762207,580.343750,11.233887,-34.328125,3.672607,0.059151,0.019357,0.000000
48,0.480000,48,6.393066,-5.684082,579.281250,11.583496,-34.294922,3.634644,0.059203,0.019996,0.000000
49,0.490000,49,6.753906,-6.418213,575.656250,11.518066,-33.841797,3.579224,0.058788,0.020009,0.000000
50,0.500000,50,5.954346,-6.055908,574.562500,11.823242,-33.179688,3.366943,0.057748,0.020578,0.000000
51,0.510000,51,6.163086,-5.880371,570.593750,12.764648,-32.548828,3.347412,0.057044,0.022371,0.000000
52,0.520000,52,5.076416,-6.238281,568.781250,12.960449,-32.150391,3.099609,0.056525,0.022786,0.000000
53,0.530000,53,4.190186,-5.601807,570.937500,13.437012,-31.710938,3.018799,0.055542,0.023535,0.000000
54,0.540000,54,4.578613,-5.064453,570.218750,14.049316,-31.369141,2.999390,0.055012,0.024638,0.000000
55,0.550000,55,4.227539,-4.511475,569.125000,14.299316,-30.982422,2.999390,0.054439,0.025125,0.000000
56,0.560000,56,3.343628,-4.325439,571.625000,15.244141,-30.829102,2.994751,0.053932,0.026668,0.000000
57,0.570000,57,3.088623,-3.875000,571.281250,15.816895,-30.512695,2.994385,0.053411,0.027687,0.000000
58,0.580000,58,1.836487,-3.591675,573.437500,15.990723,-29.833008,3.030396,0.052025,0.027886,0.000000
59,0.590000,59,1.667908,-3.786499,575.593750,16.047852,-29.185547,2.877808,0.050705,0.027881,0.000000
60,0.600000,60,0.675018,-4.509521,573.781250,16.031250,-28.454102,2.785034,0.049591,0.027940,0.000000
61,0.610000,61,0.493759,-4.322998,570.875000,15.886719,-28.206055,2.709717,0.049408,0.027829,0.000000
62,0.620000,62,0.130981,-4.970947,570.875000,15.641113,-27.564453,2.575439,0.048285,0.027398,0.000000
63,0.630000,63,-0.593048,-5.239990,567.250000,15.786621,-26.970703,2.445557,0.047546,0.027830,0.000000
64,0.640000,64,-0.942047,-5.235352,567.968750,16.240234,-26.761719,2.423462,0.047118,0.028594,0.000000
65,0.650000,65,-2.016479,-4.404053,565.781250,16.074219,-26.261719,2.388306,0.046417,0.028411,0.000000
66,0.660000,66,-2.925537,-4.481934,563.968750,16.077148,-26.041992,2.350830,0.046176,0.028507,0.000000
67,0.670000,67,-4.094238,-4.199219,565.031250,16.385742,-25.756836,2.541016,0.045585,0.029000,0.000000
68,0.680000,68,-5.255859,-3.824829,565.406250,16.464844,-25.147461,2.444702,0.044477,0.029120,0.000000
