Format Version,1.22,Take Name,rami_squatlifting2,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,13 Dec 1969 13:14:07 +0100,Total Frames in Take,5658,Total Exported Frames,5658,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.060000,0.411001,1.155485,0.298142,-0.327411,0.010095,0.478162,-0.323097,0.010286,0.050446,-0.791843,0.662142,0.585970,-0.769344,0.667916,-0.113882,-0.327725,0.228187,0.053705,-0.032077,0.009491,0.039934,-0.293457,0.664380,-0.112001,0.354339,0.078976,0.073651,0.297106,1.179031,0.001239,0.370625,0.909220,0.102061,0.384517,0.065524,0.131322,0.270850,0.528300,0.083090,0.300419,1.552158,0.103185,0.131139,0.033186,0.062292,0.162289,0.948949,-0.004043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.070000,0.411148,1.155486,0.297979,-0.327406,0.010094,0.478152,-0.323089,0.010279,0.050446,-0.791841,0.662141,0.585966,-0.769344,0.667908,-0.113879,-0.327727,0.228189,0.053706,-0.032079,0.009476,0.039934,-0.293457,0.664380,-0.112002,0.354345,0.078964,0.073630,0.296916,1.179258,0.000731,0.370763,0.909240,0.101858,0.384524,0.065527,0.131300,0.270877,0.528303,0.082973,0.300739,1.552278,0.103177,0.131131,0.033173,0.062303,0.161686,0.949484,-0.003817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.080000,0.411308,1.155499,0.297780,-0.327375,0.010069,0.478166,-0.323096,0.010274,0.050450,-0.791853,0.662147,0.585960,-0.769344,0.667919,-0.113882,-0.327726,0.228186,0.053701,-0.032075,0.009482,0.039929,-0.293458,0.664381,-0.111995,0.354331,0.078956,0.073610,0.296796,1.179484,0.000285,0.370854,0.909239,0.101650,0.384524,0.065530,0.131275,0.270907,0.528305,0.082870,0.300997,1.552373,0.103160,0.131135,0.033164,0.062305,0.161303,0.949859,-0.003650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.090000,0.411440,1.155485,0.297629,-0.327362,0.010066,0.478163,-0.323087,0.010266,0.050453,-0.791843,0.662140,0.585968,-0.769343,0.667914,-0.113884,-0.327721,0.228188,0.053699,-0.032082,0.009479,0.039929,-0.293455,0.664381,-0.111997,0.354327,0.078933,0.073590,0.296750,1.179741,-0.000159,0.370878,0.909178,0.101429,0.384529,0.065518,0.131260,0.270940,0.528309,0.082770,0.301276,1.552485,0.103139,0.131135,0.033180,0.062311,0.161215,0.950144,-0.003510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.100000,0.411587,1.155481,0.297453,-0.327394,0.010090,0.478152,-0.323092,0.010264,0.050455,-0.791846,0.662134,0.585967,-0.769345,0.667916,-0.113887,-0.327733,0.228195,0.053700,-0.032084,0.009487,0.039927,-0.293453,0.664385,-0.111999,0.354334,0.078928,0.073582,0.296790,1.179959,-0.000587,0.370964,0.909156,0.101216,0.384535,0.065519,0.131247,0.270961,0.528300,0.082689,0.301561,1.552576,0.103115,0.131135,0.033184,0.062311,0.161372,0.950303,-0.003420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.110000,0.411741,1.155432,0.297330,-0.327367,0.010071,0.478162,-0.323084,0.010271,0.050455,-0.791843,0.662143,0.585966,-0.769354,0.667922,-0.113888,-0.327724,0.228189,0.053703,-0.032078,0.009493,0.039929,-0.293460,0.664388,-0.112004,0.354337,0.078931,0.073572,0.296930,1.180177,-0.000944,0.370984,0.909151,0.100971,0.384541,0.065510,0.131238,0.270974,0.528299,0.082610,0.301871,1.552676,0.103100,0.131136,0.033185,0.062321,0.161788,0.950330,-0.003384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.120000,0.411982,1.155452,0.297139,-0.327363,0.010066,0.478163,-0.323092,0.010272,0.050450,-0.791839,0.662134,0.585974,-0.769346,0.667912,-0.113882,-0.327725,0.228191,0.053698,-0.032077,0.009474,0.039922,-0.293459,0.664381,-0.111995,0.354338,0.078925,0.073568,0.297123,1.180397,-0.001318,0.371018,0.909158,0.100737,0.384542,0.065500,0.131240,0.270978,0.528293,0.082531,0.302126,1.552759,0.103060,0.131145,0.033181,0.062323,0.162472,0.950242,-0.003408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.130000,0.412123,1.155433,0.297008,-0.327399,0.010072,0.478158,-0.323093,0.010273,0.050447,-0.791843,0.662143,0.585973,-0.769347,0.667916,-0.113883,-0.327726,0.228192,0.053697,-0.032080,0.009481,0.039925,-0.293452,0.664386,-0.112003,0.354335,0.078922,0.073559,0.297388,1.180597,-0.001650,0.371075,0.909146,0.100557,0.384540,0.065490,0.131236,0.270972,0.528280,0.082459,0.302364,1.552864,0.103021,0.131143,0.033187,0.062324,0.163360,0.950028,-0.003489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.140000,0.412210,1.155360,0.296868,-0.327395,0.010091,0.478167,-0.323094,0.010263,0.050456,-0.791838,0.662133,0.585971,-0.769345,0.667918,-0.113888,-0.327731,0.228190,0.053702,-0.032079,0.009484,0.039927,-0.293460,0.664382,-0.111999,0.354327,0.078915,0.073559,0.297701,1.180761,-0.001945,0.371140,0.909137,0.100373,0.384542,0.065479,0.131234,0.270961,0.528288,0.082376,0.302616,1.552959,0.102991,0.131138,0.033169,0.062335,0.164469,0.949737,-0.003635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.150000,0.412337,1.155338,0.296716,-0.327406,0.010094,0.478160,-0.323092,0.010265,0.050452,-0.791846,0.662145,0.585970,-0.769345,0.667909,-0.113887,-0.327729,0.228176,0.053702,-0.032076,0.009479,0.039920,-0.293455,0.664383,-0.112002,0.354317,0.078894,0.073557,0.298029,1.180925,-0.002192,0.371239,0.909102,0.100175,0.384539,0.065490,0.131219,0.270945,0.528293,0.082298,0.302861,1.553044,0.102973,0.131131,0.033170,0.062341,0.165730,0.949387,-0.003829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
